[pattern]	lhsText	rhsText	w	gsw	meanSim	greedySim	phrasePair	notSure	isInWordnet	extentionLevel	pairIndex	text	hypothesis	lhsDrs	rhsDrs
[vnnnn--vr]	woman-n-2 tailing-v-4 pony-n-6 near-r-7 rock-n-9 wall-n-11	used-v-5 for-r-6	0.0	0.0	0.463022	0.373972	tail-vb nsubj-#1# woman-nn #1# dobj-#2# pony-nn pmod-#3# near-in pobj-#4# rock-nn #4# #3# #2# : use-vb dobj-#1# for-in #1#	1	Phrasal	1	865	a woman is tailing a pony near a rock climbing wall	a man with equipment used for climbing is hanging from a white , vertical rock .	drs([[]:x103,[]:x104,[]:x104,[]:x102,[]:x101,[]:x103,[]:x201,[]:x201,[]:x101,[]:x201,[]:x103],[[]:rel(x103,x104,of,0),[12900009]:pred(x104,rock,n,0),[12900006]:pred(x102,pony,n,0),[12900002]:pred(x101,woman,n,0),[12900011]:pred(x103,wall,n,0),[12900004]:pred(x201,tail,v,0),[]:rel(x201,x101,agent,0),[12900007]:rel(x201,x103,near,0)])	drs([[]:x201,[]:x202,[]:x201],[[13000006]:rel(x201,x202,for,0),[13000005]:pred(x201,use,v,0)])
[nvnnn--vnn]	woman-n-2 with-r-3 ponytail-n-5 climbing-v-7 wall-n-9 of-r-10 rock-n-11	equipment-n-3 hanging-v-9 from-r-10 white-a-12 vertical-a-14 rock-n-15	0.0	0.0	0.862673	0.862673	climb-vb nsubj-#1# woman-nn pmod-#2# with-in pobj-#3# ponytail-nn #3# #2# #1# dobj-#4# wall-nn pmod-#5# of-in pobj-#6# rock-nn #6# #5# #4# : hang-vb nsubj-#1# equipment-nn #1# dobj-#2# from-in pobj-#3# white-jj amod-#4# vertical-jj amod-#5# rock-nn #5# #4# #3# #2#	1	Phrasal	1	866	a woman with a ponytail is climbing a wall of rock	the climbing equipment to rescue a man is hanging from a white , vertical rock	drs([[]:x103,[]:x104,[]:x101,[]:x102,[]:x104,[]:x201,[]:x201,[]:x101,[]:x101,[]:x102,[]:x103],[[13100010]:rel(x103,x104,of,0),[13100002]:pred(x101,woman,n,0),[13100005]:pred(x102,ponytail,n,0),[13100011]:pred(x104,rock,n,0),[13100007]:pred(x201,climb,v,0),[]:rel(x201,x101,agent,0),[13100003]:rel(x101,x102,with,0),[13100009]:pred(x103,wall,n,0)])	drs([[]:X101,[]:X202,[]:x104,[]:x104,[]:x104,[]:X202,[]:x104,[]:X202,[]:X101],[[13200003]:pred(X101,equipment,n,0),[13200010]:rel(X202,x104,from,0),[13200012]:pred(x104,white,a,0),[13200014]:pred(x104,vertical,a,0),[13200009]:pred(X202,hang,v,0),[13200015]:pred(x104,rock,n,0),[]:rel(X202,X101,agent,0)])
[nvnnn--vnn]	woman-n-2 with-r-3 ponytail-n-5 climbing-v-7 wall-n-9 of-r-10 rock-n-11	climbing-v-2 equipment-n-3 rescue-v-5 man-n-7	0.0	0.0	0.73267	0.706964	climb-vb nsubj-#1# woman-nn pmod-#2# with-in pobj-#3# ponytail-nn #3# #2# #1# dobj-#4# wall-nn pmod-#5# of-in pobj-#6# rock-nn #6# #5# #4# : climb-vb amod-#1# equipment-nn #1#	1	Phrasal	1	866	a woman with a ponytail is climbing a wall of rock	the climbing equipment to rescue a man is hanging from a white , vertical rock	drs([[]:x103,[]:x104,[]:x101,[]:x102,[]:x104,[]:x201,[]:x201,[]:x101,[]:x101,[]:x102,[]:x103],[[13100010]:rel(x103,x104,of,0),[13100002]:pred(x101,woman,n,0),[13100005]:pred(x102,ponytail,n,0),[13100011]:pred(x104,rock,n,0),[13100007]:pred(x201,climb,v,0),[]:rel(x201,x101,agent,0),[13100003]:rel(x101,x102,with,0),[13100009]:pred(x103,wall,n,0)])	drs([[]:x103,[]:X101,[]:x201,[]:x201,[]:X101,[]:x201],[[13200007]:pred(x103,man,n,0),[13200003]:pred(X101,equipment,n,0),[13200005]:pred(x201,rescue,v,0),[]:rel(x201,X101,agent,0),[13200002]:pred(x201,climb,v,0)])
[vnn--vnnnn]	man-n-2 hanging-v-9 from-r-10 white-a-12 vertical-a-14 rock-n-15	woman-n-2 ponytail-n-5 climbing-v-7 wall-n-9 of-r-10 rock-n-11	0.0	0.0	0.912042	0.912042	hang-vb nsubj-#1# man-nn #1# dobj-#2# from-in pobj-#3# white-jj amod-#4# vertical-jj amod-#5# rock-nn #5# #4# #3# #2# : climb-vb nsubj-#1# woman-nn #1# dobj-#2# wall-nn pmod-#3# of-in pobj-#4# rock-nn #4# #3# #2#	1	Phrasal	1	867	a man with equipment used for climbing is hanging from a white , vertical rock .	a woman with a ponytail is climbing a wall of rock	drs([[]:x104,[]:x203,[]:x104,[]:x104,[]:x101,[]:x203,[]:x101,[]:x203,[]:x104],[[13300015]:pred(x104,rock,n,0),[13300009]:pred(x203,hang,v,0),[13300014]:pred(x104,vertical,a,0),[13300012]:pred(x104,white,a,0),[13300002]:pred(x101,man,n,0),[]:rel(x203,x101,agent,0),[13300010]:rel(x203,x104,from,0)])	drs([[]:x102,[]:x101,[]:x104,[]:x203,[]:x104,[]:x203,[]:x202,[]:x202,[]:x101,[]:x202,[]:x203],[[13400005]:pred(x102,ponytail,n,0),[13400002]:pred(x101,woman,n,0),[13400011]:pred(x104,rock,n,0),[13400010]:rel(x203,x104,of,0),[13400009]:pred(x203,wall,n,0),[13400007]:pred(x202,climb,v,0),[]:rel(x202,x101,agent,0),[]:rel(x202,x203,patient,0)])
[rvr--vnnnn]	for-r-6 climbing-v-7	woman-n-2 ponytail-n-5 climbing-v-7 wall-n-9 of-r-10 rock-n-11	0.0	0.0	0.174823	0.191891	for-in : climb-vb nsubj-#1# woman-nn #1# dobj-#2# wall-nn pmod-#3# of-in pobj-#4# rock-nn #4# #3# #2#	1	Phrasal	1	867	a man with equipment used for climbing is hanging from a white , vertical rock .	a woman with a ponytail is climbing a wall of rock	drs([[]:x202,[]:x103,[]:x202,[]:x201,[]:x202],[[]:rel(x202,x103,agent,0),[13300007]:pred(x202,climb,v,0),[13300006]:rel(x201,x202,for,0)])	drs([[]:x102,[]:x101,[]:x104,[]:x203,[]:x104,[]:x203,[]:x202,[]:x202,[]:x101,[]:x202,[]:x203],[[13400005]:pred(x102,ponytail,n,0),[13400002]:pred(x101,woman,n,0),[13400011]:pred(x104,rock,n,0),[13400010]:rel(x203,x104,of,0),[13400009]:pred(x203,wall,n,0),[13400007]:pred(x202,climb,v,0),[]:rel(x202,x101,agent,0),[]:rel(x202,x203,patient,0)])
[vrn--vnnnn]	equipment-n-4 used-v-5 for-r-6	woman-n-2 ponytail-n-5 climbing-v-7 wall-n-9 of-r-10 rock-n-11	0.0	0.0	0.324614	0.613056	use-vb dobj-#1# for-in #1# : climb-vb nsubj-#1# woman-nn #1# dobj-#2# wall-nn pmod-#3# of-in pobj-#4# rock-nn #4# #3# #2#	1	Phrasal	1	867	a man with equipment used for climbing is hanging from a white , vertical rock .	a woman with a ponytail is climbing a wall of rock	drs([[]:x201,[]:x202,[]:x201,[]:x102,[]:x201,[]:x102],[[13300006]:rel(x201,x202,for,0),[13300005]:pred(x201,use,v,0),[13300004]:pred(x102,equipment,n,0),[]:rel(x201,x102,patient,0)])	drs([[]:x102,[]:x101,[]:x104,[]:x203,[]:x104,[]:x203,[]:x202,[]:x202,[]:x101,[]:x202,[]:x203],[[13400005]:pred(x102,ponytail,n,0),[13400002]:pred(x101,woman,n,0),[13400011]:pred(x104,rock,n,0),[13400010]:rel(x203,x104,of,0),[13400009]:pred(x203,wall,n,0),[13400007]:pred(x202,climb,v,0),[]:rel(x202,x101,agent,0),[]:rel(x202,x203,patient,0)])
[vnn--vnn]	dog-n-6 running-v-9 on-r-10 grass-n-12	person-n-3 running-v-8 with-r-9 dog-n-11 on-r-12 grass-n-14	0.0	0.0	0.466918	0.795117	run-vb dobj-#1# on-in pobj-#2# grass-nn #2# #1# : run-vb nsubj-#1# person-nn #1# dobj-#2# with-in pobj-#3# dog-nn pmod-#4# on-in pobj-#5# grass-nn #5# #4# #3# #2#	0	Phrasal	1	868	a black and a white dog are joyfully running on the grass	a black person in white is joyfully running with the dog on the grass	drs([[]:x201,[]:x201,[]:x102,[]:x102,[]:x101],[[13500009]:pred(x201,run,v,0),[13500010]:rel(x201,x102,on,0),[13500012]:pred(x102,grass,n,0),[13500006]:pred(x101,dog,n,0)])	drs([[]:x101,[]:x201,[]:x101,[]:x102,[]:x101,[]:x102,[]:x101,[]:x201],[[13600011]:pred(x101,dog,n,0),[13600009]:rel(x201,x101,with,0),[13600014]:pred(x102,grass,n,0),[13600012]:rel(x101,x102,on,0),[13600003]:pred(x101,person,n,0),[13600008]:pred(x201,run,v,0)])
[rvnn--vrn]	sitting-v-9 side-n-10 on-r-13 grass-n-15	running-v-9 side-n-10 on-r-13 grass-n-15	0.0	0.0	0.979235	1, 0.92614	on-in pobj-#1# grass-nn #1# : on-in pobj-#1# grass-nn #1#, sit-vb dobj-#1# side-nn #1# : run-vb dobj-#1# side-nn #1#	0	Phrasal	1	869	one white dog and one black one are sitting side by side on the grass	one white dog and one black one are running side by side on the grass	drs([[]:x104,[]:x105,[]:x106,[]:x201,[]:x201,[]:x104,[]:x106],[[13700010]:pred(x104,side,n,0),[13700013]:rel(x105,x106,on,0),[13700009]:pred(x201,sit,v,0),[]:rel(x201,x104,agent,0),[13700015]:pred(x106,grass,n,0)])	drs([[]:x104,[]:x101,[]:x104,[]:x104,[]:x104,[]:x104,[]:x104,[]:x106,[]:x106],[[]:rel(x104,x101,agent,0),[]:rel(x104,x104,patient,0),[13800010]:pred(x104,side,n,0),[13800009]:pred(x104,run,v,0),[13800013]:rel(x104,x106,on,0),[13800015]:pred(x106,grass,n,0)])
[nnvrnnn--vvnnnn]	one-n-1 dog-n-3 cheerfully-r-9 running-v-10 side-n-11 by-r-12 on-r-14 grass-n-16	white-a-5 dog-n-6 joyfully-r-8 running-v-9 on-r-10 grass-n-12	1.0	1.0	0.961786	0.885149, 0.876741, 0.777763, 0.654365	grass-nn : white-jj, cheerfully-rb : joyfully-rb, on-in : dog-nn, run-vb dobj-#1# by-in #1# dobj-#2# side-nn #2# nsubj-#3# dog-nn #3# : run-vb dobj-#1# on-in pobj-#2# grass-nn #2# #1#	0	Phrasal	1	870	one white dog and one black one are cheerfully running side by side on the grass	a black and a white dog are joyfully running on the grass	drs([[]:x103,[]:x101,[]:x101,[]:x102,[]:x106,[]:x201,[]:x106,[]:x201,[]:x201,[]:x104,[]:x105,[]:x104,[]:x102,[]:x201,[]:x101,[]:x102,[]:x101,[]:x201,[]:x103,[]:x201,[]:x105],[[]:rel(x103,x101,subset_of,1),[]:pred(x101,group_head,r,0),[13900003]:pred(x102,dog,n,0),[13900016]:pred(x106,grass,n,0),[13900014]:rel(x201,x106,on,0),[13900010]:pred(x201,run,v,0),[]:rel(x201,x104,patient,0),[13900011]:pred(x105,side,n,0),[13900011]:pred(x104,side,n,0),[13900001]:pred(x102,one,n,0),[]:rel(x201,x101,agent,0),[]:rel(x102,x101,subset_of,1),[13900009]:pred(x201,cheerfully,r,0),[13900001]:pred(x103,one,n,0),[13900012]:rel(x201,x105,by,0)])	drs([[]:X202,[]:x102,[]:X104,[]:X202,[]:X202,[]:X202,[]:X104,[]:x102,[]:X201,[]:X102,[]:X201,[]:X201,[]:x103,[]:x103,[]:X201,[]:X102,[]:x103],[[]:rel(X202,x102,agent,0),[14000012]:pred(X104,grass,n,0),[14000008]:pred(X202,joyfully,r,0),[14000009]:pred(X202,run,v,0),[14000010]:rel(X202,X104,on,0),[14000006]:pred(x102,dog,n,0),[14000010]:rel(X201,X102,on,0),[14000008]:pred(X201,joyfully,r,0),[]:rel(X201,x103,agent,0),[14000005]:pred(x103,white,a,0),[14000009]:pred(X201,run,v,0),[14000012]:pred(X102,grass,n,0),[14000006]:pred(x103,dog,n,0)])
[nnvrnnn--vvnnnn]	one-n-1 white-a-2 dog-n-3 black-n-6 sitting-v-9 side-n-10 by-r-11 on-r-13 grass-n-15	black-a-2 white-a-5 dog-n-6 joyfully-r-8 running-v-9 on-r-10 grass-n-12	0.0	0.0	0.881886	0.957658, 0.868794, 0.83375, 0.460351	black-jj : white-jj, sit-vb dobj-#1# side-nn #1# nsubj-#2# white-jj amod-#3# dog-nn #3# #2# dobj-#4# by-in #4# : run-vb nsubj-#1# black-jj #1# dobj-#2# on-in pobj-#3# grass-nn #3# #2#, grass-nn : dog-nn, on-in : joyfully-rb	0	Phrasal	1	871	one white dog and one black one are sitting side by side on the grass	a black and a white dog are joyfully running on the grass	drs([[]:x103,[]:x103,[]:x103,[]:x101,[]:x101,[]:x105,[]:x106,[]:x102,[]:x104,[]:x106,[]:x102,[]:x104,[]:x105,[]:x201,[]:x104,[]:x201,[]:x102,[]:x101,[]:x102,[]:x105],[[14100001]:pred(x103,one,n,0),[14100006]:pred(x103,black,n,0),[]:rel(x103,x101,subset_of,1),[]:pred(x101,group_head,r,0),[14100013]:rel(x105,x106,on,0),[14100003]:pred(x102,dog,n,0),[14100010]:pred(x104,side,n,0),[14100015]:pred(x106,grass,n,0),[14100002]:pred(x102,white,a,0),[14100011]:rel(x104,x105,by,0),[]:rel(x201,x104,agent,0),[14100009]:pred(x201,sit,v,0),[]:rel(x102,x101,subset_of,1),[14100001]:pred(x102,one,n,0),[14100010]:pred(x105,side,n,0)])	drs([[]:X202,[]:X104,[]:X201,[]:X201,[]:X102,[]:X202,[]:X101,[]:X101,[]:X103,[]:X103,[]:X101,[]:X202,[]:X104,[]:X102,[]:X201,[]:X101,[]:X201,[]:X202,[]:X103],[[14200010]:rel(X202,X104,on,0),[14200009]:pred(X201,run,v,0),[14200010]:rel(X201,X102,on,0),[14200009]:pred(X202,run,v,0),[14200006]:pred(X101,dog,n,0),[14200002]:pred(X101,black,a,0),[14200006]:pred(X103,dog,n,0),[14200005]:pred(X103,white,a,0),[14200005]:pred(X101,white,a,0),[14200008]:pred(X202,joyfully,r,0),[14200012]:pred(X104,grass,n,0),[14200012]:pred(X102,grass,n,0),[]:rel(X201,X101,agent,0),[14200008]:pred(X201,joyfully,r,0),[]:rel(X202,X103,agent,0)])
[vnn--vnnn]	joyfully-r-7 running-v-8 with-r-9 dog-n-11 on-r-12 grass-n-14	running-v-9 side-n-10 by-r-11 on-r-13 grass-n-15	0.0	0.0	0.847629	0.737702, 0.488851	run-vb dobj-#1# with-in pobj-#2# dog-nn pmod-#3# on-in pobj-#4# grass-nn #4# #3# #2# #1# : on-in pobj-#1# grass-nn #1#, joyfully-rb : run-vb dobj-#1# side-nn #1# dobj-#2# by-in #2#	1	Phrasal	1	872	a black person in white is joyfully running with the dog on the grass	one white dog and one black one are running side by side on the grass	drs([[]:x201,[]:x102,[]:x103,[]:x201,[]:x201,[]:x102,[]:x102,[]:x103],[[14300007]:pred(x201,joyfully,r,0),[14300011]:pred(x102,dog,n,0),[14300014]:pred(x103,grass,n,0),[14300008]:pred(x201,run,v,0),[14300009]:rel(x201,x102,with,0),[14300012]:rel(x102,x103,on,0)])	drs([[]:X105,[]:x103,[]:x201,[]:x201,[]:x103,[]:x201,[]:X104,[]:X104,[]:x201,[]:X105],[[14400010]:pred(X105,side,n,0),[14400015]:pred(x103,grass,n,0),[14400009]:pred(x201,run,v,0),[14400013]:rel(x201,x103,on,0),[]:rel(x201,X104,patient,0),[14400010]:pred(X104,side,n,0),[14400011]:rel(x201,X105,by,0)])
[n--nn]	black-a-2 person-n-3	one-n-1 dog-n-3 black-n-6	0.0	0.0	0.463073	0.470349	black-jj amod-#1# person-nn #1# : dog-nn	1	Phrasal	1	872	a black person in white is joyfully running with the dog on the grass	one white dog and one black one are running side by side on the grass	drs([[]:x101,[]:x101],[[14300002]:pred(x101,black,a,0),[14300003]:pred(x101,person,n,0)])	drs([[]:x101,[]:xir,[]:x101,[]:x101,[]:x101,[]:x101,[]:xir,[]:x101,[]:xir],[[14400003]:pred(x101,dog,n,0),[]:rel(xir,x101,subset_of,1),[14400001]:pred(x101,one,n,0),[]:rel(x101,x101,subset_of,1),[14400006]:pred(xir,black,n,0),[]:pred(x101,group_head,r,0),[14400001]:pred(xir,one,n,0)])
[vnn--vnn]	many-n-1 people-n-2 skating-v-4 park-n-8	lot-n-2 of-r-3 people-n-4 skating-v-9 park-n-10	0.0	0.0	0.806613	1, 0.551163	park-nn : park-nn, skate-vb nsubj-#1# many-jj amod-#2# people-nn #2# #1# : skating-nn	0	Phrasal	1	874	many people are skating in an ice park	a lot of people are in an ice skating park	drs([[]:x102,[]:x201,[]:x201,[]:x101,[]:x101,[]:x101],[[14700008]:pred(x102,park,n,0),[14700004]:pred(x201,skate,v,0),[]:rel(x201,x101,agent,0),[14700001]:pred(x101,quantity,n,1),[14700002]:pred(x101,people,n,0)])	drs([[]:x102,[]:x201,[]:x102,[]:x101,[]:x201,[]:x201,[]:x201,[]:x101],[[14800010]:pred(x102,park,n,0),[]:rel(x201,x102,agent,0),[14800004]:pred(x101,people,n,0),[14800009]:pred(x201,skate,v,0),[14800002]:pred(x201,lot,n,0),[14800003]:rel(x201,x101,of,0)])
[n--nn]	ice-n-2 empty-a-8	ice-n-2 full-a-8 people-n-10	-1.0	-1.0	0.913741	1, 0.778925	ice-nn : ice-nn, empty-jj : full-jj	0	Phrasal	1	876	an ice skating rink placed outdoors is empty	an ice skating rink placed outdoors is full of people	drs([[]:x101,[]:x101],[[15100002]:pred(x101,ice,n,0),[15100008]:pred(x101,empty,a,0)])	drs([[]:xir,[]:x101,[]:xir,[]:x101,[]:xir,[]:x101,[]:x101],[[]:rel(xir,x101,theme,0),[]:rel(xir,x101,of,0),[15200008]:pred(xir,full,a,0),[15200002]:pred(x101,ice,n,0),[15200010]:pred(x101,people,n,0)])
[vrnn--nvnnnn]	rink-n-4 placed-v-5 outdoors-n-6	ice-n-2 skater-n-3 outdoors-n-5 performing-v-6 on-r-7 rink-n-9 full-a-10	0.0	0.0	0.817625	0.902659, 0.482751	outdoors-nn : outdoors-rb, place-vb nsubj-#1# rink-nn #1# : ice-nn	1	Phrasal	1	877	an ice skating rink placed outdoors is full of people	an ice skater is outdoors performing on a rink full of people	drs([[]:x201,[]:x202,[]:x102,[]:x201,[]:x102,[]:x102,[]:x102,[]:x103,[]:x103],[[15300005]:pred(x201,place,v,0),[]:rel(x202,x102,patient,0),[]:rel(x201,x102,patient,0),[15300006]:pred(x102,outdoors,n,0),[]:rel(x102,x103,of,0),[15300004]:pred(x103,rink,n,0)])	drs([[]:x401,[]:x103,[]:x101,[]:X201,[]:x102,[]:X201,[]:X201,[]:x103,[]:X101,[]:x103,[]:x102,[]:X101,[]:x101,[]:x401],[[]:rel(x401,x103,theme,0),[15400002]:pred(x101,ice,n,0),[]:rel(X201,x102,agent,0),[15400006]:pred(X201,perform,v,0),[15400007]:rel(X201,x103,on,0),[15400003]:pred(X101,skater,n,0),[15400009]:pred(x103,rink,n,0),[15400005]:pred(x102,outdoors,n,0),[]:rel(X101,x101,of,0),[15400010]:pred(x401,full,a,0)])
[rvnnnn--nvnnnn]	ice-n-2 skating-v-3 rink-n-4 outdoors-n-6 full-a-8	ice-n-2 skater-n-3 outdoors-n-5 performing-v-6 on-r-7 rink-n-9 full-a-10	0.0	0.0	0.940076	1, 0.902659	ice-nn : ice-nn, outdoors-nn : outdoors-rb	1	Phrasal	1	877	an ice skating rink placed outdoors is full of people	an ice skater is outdoors performing on a rink full of people	drs([[]:x401,[]:x101,[]:x202,[]:x102,[]:x202,[]:x101,[]:x201,[]:x102,[]:x102,[]:x102,[]:x103,[]:x401,[]:x103,[]:x101,[]:x202],[[]:rel(x401,x101,theme,0),[]:rel(x202,x102,patient,0),[]:rel(x202,x101,agent,0),[]:rel(x201,x102,patient,0),[15300006]:pred(x102,outdoors,n,0),[]:rel(x102,x103,of,0),[15300008]:pred(x401,full,a,0),[15300004]:pred(x103,rink,n,0),[15300002]:pred(x101,ice,n,0),[15300003]:pred(x202,skate,v,0)])	drs([[]:x401,[]:x103,[]:x101,[]:X201,[]:x102,[]:X201,[]:X201,[]:x103,[]:X101,[]:x103,[]:x102,[]:X101,[]:x101,[]:x401],[[]:rel(x401,x103,theme,0),[15400002]:pred(x101,ice,n,0),[]:rel(X201,x102,agent,0),[15400006]:pred(X201,perform,v,0),[15400007]:rel(X201,x103,on,0),[15400003]:pred(X101,skater,n,0),[15400009]:pred(x103,rink,n,0),[15400005]:pred(x102,outdoors,n,0),[]:rel(X101,x101,of,0),[15400010]:pred(x401,full,a,0)])
[nn--nn]	ice-n-2 full-a-8	lot-n-2 of-r-3 in-r-6 ice-n-8 park-n-10	1.0	1.0	0.930213	1, 0.860881	ice-nn : ice-nn, full-jj : lot-nn pmod-#1# of-in #1#	0	Phrasal	1	878	the ice skating rink placed outdoors is full of people	a lot of people are in an ice skating park	drs([[]:x101,[]:x401,[]:x401,[]:x101],[[15500002]:pred(x101,ice,n,0),[15500008]:pred(x401,full,a,0),[]:rel(x401,x101,theme,0)])	drs([[]:x401,[]:x101,[]:x101,[]:x101,[]:x101,[]:x101,[]:x401],[[15600006]:rel(x401,x101,in,0),[15600010]:pred(x101,park,n,0),[15600008]:pred(x101,ice,n,0),[15600003]:rel(x101,x101,of,0),[15600002]:pred(x401,lot,n,0)])
[nnv--nvnn]	lot-n-2 in-r-6 skating-v-9 park-n-10	skater-n-3 outdoors-n-5 performing-v-6 on-r-7 rink-n-9 full-a-10	0.0	0.0	0.845228	0.777319	skating-nn : outdoors-rb	0	Phrasal	1	879	a lot of people are in an ice skating park	an ice skater is outdoors performing on a rink full of people	drs([[]:x201,[]:x101,[]:x101,[]:x103,[]:x103],[[15700009]:pred(x201,skate,v,0),[15700002]:pred(x101,lot,n,0),[15700006]:rel(x101,x103,in,0),[15700010]:pred(x103,park,n,0)])	drs([[]:x201,[]:xir,[]:x103,[]:xir,[]:x101,[]:x201,[]:x101,[]:xir,[]:x103],[[15800007]:rel(x201,xir,on,0),[15800005]:pred(x103,outdoors,n,0),[15800009]:pred(xir,rink,n,0),[15800010]:pred(x101,full,a,0),[15800006]:pred(x201,perform,v,0),[]:rel(x101,xir,theme,0),[15800003]:pred(x103,skater,n,0)])
[nnn--rnn]	ice-n-2 full-a-8 people-n-10	many-n-4 people-n-5 in-r-6 ice-n-8 park-n-10	1.0	1.0	0.902896	1, 0.733128	ice-nn : ice-nn, people-nn : many-jj amod-#1# people-nn #1# pmod-#2# in-in pobj-#3# park-nn #3# #2#	0	Phrasal	1	880	an ice skating rink placed outdoors is full of people	there are n't many people in the ice skating park	drs([[]:x401,[]:x101,[]:x401,[]:x101,[]:x401,[]:x104,[]:x104],[[15900008]:pred(x401,full,a,0),[15900002]:pred(x101,ice,n,0),[]:rel(x401,x101,theme,0),[]:rel(x401,x104,of,0),[15900010]:pred(x104,people,n,0)])	drs([[]:x101,[]:x101,[]:x104,[]:xir,[]:x101,[]:x104,[]:x101,[]:x101],[[]:rel(x101,x101,of,0),[16000004]:pred(x104,quantity,n,1),[16000006]:rel(xir,x101,in,0),[16000005]:pred(x104,people,n,0),[16000008]:pred(x101,ice,n,0),[16000010]:pred(x101,park,n,0)])
[nn--nn]	ice-n-2 full-a-8	lot-n-2 of-r-3 in-r-6 ice-n-8 park-n-10	1.0	1.0	0.930213	1, 0.860881	ice-nn : ice-nn, full-jj : lot-nn pmod-#1# of-in #1#	0	Phrasal	1	881	an ice skating rink placed outdoors is full of people	a lot of people are in an ice skating park	drs([[]:x101,[]:x401,[]:x401,[]:x101],[[16100002]:pred(x101,ice,n,0),[16100008]:pred(x401,full,a,0),[]:rel(x401,x101,theme,0)])	drs([[]:x101,[]:x101,[]:x401,[]:x401,[]:x101,[]:x101,[]:x101],[[16200003]:rel(x101,x101,of,0),[16200002]:pred(x401,lot,n,0),[16200006]:rel(x401,x101,in,0),[16200010]:pred(x101,park,n,0),[16200008]:pred(x101,ice,n,0)])
[v--v]	lowering-v-12	raising-v-12	0.0	0.0	0.802485	0.802485	lower-vb : raise-vb	0	Antonym	1	882	a girl in a uniform , which is blue , is lowering her arm	a girl in a uniform , which is blue , is raising her arm .	drs([[]:x201],[[16300012]:pred(x201,lower,v,0)])	drs([[]:x201],[[16400012]:pred(x201,raise,v,0)])
[vnnn--nvnn]	raising-v-4 uniform-n-7 with-r-8 her-n-9 arm-n-10	in-r-3 uniform-n-5 raising-v-12 her-n-13 arm-n-14	0.0	0.0	0.649457	0.761547	raise-vb dobj-#1# with-in pobj-#2# arm-nn #2# #1# dobj-#3# uniform-nn #3# : raise-vb dobj-#1# arm-nn #1#	0	Phrasal	1	883	a girl is raising a blue uniform with her arm	a girl in a uniform , which is blue , is raising her arm .	drs([[]:x102,[]:x102,[]:x103,[]:x201,[]:x102,[]:x201,[]:x103,[]:x101],[[16500007]:pred(x102,uniform,n,0),[16500008]:rel(x102,x103,with,0),[]:rel(x201,x102,patient,0),[16500004]:pred(x201,raise,v,0),[16500010]:pred(x103,arm,n,0),[16500009]:pred(x101,female,n,2)])	drs([[]:x101,[]:x102,[]:x201,[]:x103,[]:x101,[]:x102,[]:x201,[]:x103],[[16600013]:pred(x101,female,n,2),[16600005]:pred(x102,uniform,n,0),[]:rel(x201,x103,patient,0),[16600003]:rel(x101,x102,in,0),[16600012]:pred(x201,raise,v,0),[16600014]:pred(x103,arm,n,0)])
[v--vn]	cheering-v-10	cheers-n-2 performed-v-5	1.0	1.0	0.879271	0.935341	cheer-vb : cheer-nn	0	Phrasal	1	884	the girl in the blue and white uniform is cheering	some cheers are being performed by the girl in the blue and white uniform	drs([[]:x201],[[16700010]:pred(x201,cheer,v,0)])	drs([[]:x201,[]:x201,[]:xir,[]:xir],[[16800005]:pred(x201,perform,v,0),[]:rel(x201,xir,patient,0),[16800002]:pred(xir,cheer,n,0)])
[v--v]	performed-v-5	raising-v-12	0.0	0.0	0.765197	0.765197	perform-vb : raise-vb	1	NotInWN	1	886	some cheers are being performed by the girl in the blue and white uniform	a girl in a uniform , which is blue , is raising her arm .	drs([[]:x201],[[17100005]:pred(x201,perform,v,0)])	drs([[]:x201],[[17200012]:pred(x201,raise,v,0)])
[nnnrn--nnn]	cheers-n-2 girl-n-8 in-r-9 blue-n-11 white-a-13	girl-n-2 in-r-3 blue-a-9 her-n-13 arm-n-14	0.0	0.0	0.973749	1, 1, 0.807956	girl-nn pmod-#1# in-in #1# : girl-nn pmod-#1# in-in #1#, blue-jj : blue-jj, white-jj : arm-nn	1	Phrasal	1	886	some cheers are being performed by the girl in the blue and white uniform	a girl in a uniform , which is blue , is raising her arm .	drs([[]:x102,[]:x103,[]:x102,[]:x104,[]:x103,[]:x104,[]:x103,[]:x105,[]:x105,[]:x103,[]:x101],[[17100009]:rel(x102,x103,in,0),[17100008]:pred(x102,girl,n,0),[17100011]:pred(x104,blue,n,0),[]:pred(x103,group_head,r,0),[]:rel(x104,x103,subset_of,1),[17100013]:pred(x105,white,a,0),[]:rel(x105,x103,subset_of,1),[17100002]:pred(x101,cheer,n,0)])	drs([[]:x101,[]:x105,[]:x102,[]:x101,[]:x102,[]:x102,[]:x105,[]:x102],[[17200014]:pred(x101,arm,n,0),[17200009]:pred(x105,blue,a,0),[17200013]:pred(x102,female,n,2),[]:rel(x101,x102,of,1),[17200003]:rel(x102,x105,in,0),[17200002]:pred(x102,girl,n,0)])
